model,group,dimensions,parameters,num_objects,num_posterior_samples,num_regions,score,ideal_score,delta_from_ideal,theoretical_variance,theoretical_sigma,mira_std,region_mc_std,bootstrap_mean,bootstrap_std,bootstrap_q025,bootstrap_q16,bootstrap_q84,bootstrap_q975,group_seed,bootstrap_seed
raw_iw,marginal_sfh_dlog_sfr_08,1,sfh_dlog_sfr_08,512,128,100,0.49136093322694646,0.6666666666666666,-0.17530573343972017,0.00010850694444444444,0.010416666666666666,0.011443810304706377,0.011443810304706377,0.4917735766611009,0.013184017001174789,0.46801109488312564,0.4783996599853026,0.5053125018824357,0.5173759479722975,720457340,935912535
ema_q,marginal_sfh_dlog_sfr_08,1,sfh_dlog_sfr_08,512,128,100,0.5464947530124141,0.6666666666666666,-0.1201719136542525,0.00010850694444444444,0.010416666666666666,0.012373696613284416,0.012373696613284416,0.5466175099708791,0.012768651307512126,0.5221984882734659,0.5341113301147198,0.5591192647781941,0.5716857931453205,720457340,935912535
ema_iw,marginal_sfh_dlog_sfr_08,1,sfh_dlog_sfr_08,512,128,100,0.48949524108132436,0.6666666666666666,-0.17717142558534227,0.00010850694444444444,0.010416666666666666,0.012445307458634917,0.012445307458634917,0.4895505084155146,0.013684916825843356,0.46364822560417734,0.475215455871878,0.5032012958198834,0.5157642383715668,720457340,935912535
raw_q,marginal_sfh_dlog_sfr_09,1,sfh_dlog_sfr_09,512,128,100,0.5680947897139742,0.6666666666666666,-0.09857187695269243,0.00010850694444444444,0.010416666666666666,0.012077673694403128,0.012077673694403128,0.568415178509113,0.012334818693209936,0.544066621899853,0.5563201925021417,0.5802941916148893,0.5943519614426492,2651625086,1814223316
raw_iw,marginal_sfh_dlog_sfr_09,1,sfh_dlog_sfr_09,512,128,100,0.5189178486128071,0.6666666666666666,-0.14774881805385953,0.00010850694444444444,0.010416666666666666,0.011641970974933472,0.011641970974933472,0.51927992441982,0.01324850524789555,0.4924572009312257,0.5059283466112925,0.5326483174139571,0.5435993214830731,2651625086,1814223316
ema_q,marginal_sfh_dlog_sfr_09,1,sfh_dlog_sfr_09,512,128,100,0.5688687154981074,0.6666666666666666,-0.09779795116855927,0.00010850694444444444,0.010416666666666666,0.012850255869305766,0.012850255869305766,0.5685122854430685,0.012704946610504128,0.5423584004579425,0.5561755391812904,0.5812646506028796,0.593567278212187,2651625086,1814223316
ema_iw,marginal_sfh_dlog_sfr_09,1,sfh_dlog_sfr_09,512,128,100,0.5201255817716032,0.6666666666666666,-0.14654108489506346,0.00010850694444444444,0.010416666666666666,0.012784159711341402,0.012784159711341402,0.5203564930273462,0.013506427109798096,0.4943496722517523,0.5062951679017215,0.533713991246052,0.5463939687102808,2651625086,1814223316
raw_q,marginal_sfh_dlog_sfr_10,1,sfh_dlog_sfr_10,512,128,100,0.5392889424386954,0.6666666666666666,-0.12737772422797122,0.00010850694444444444,0.010416666666666666,0.012692387038394213,0.012692387038394213,0.5392658406319687,0.012044959543227467,0.5169319172089246,0.5269091816503897,0.5513299581085517,0.5620948812443572,3166931931,2807047589
raw_iw,marginal_sfh_dlog_sfr_10,1,sfh_dlog_sfr_10,512,128,100,0.482605287442376,0.6666666666666666,-0.1840613792242906,0.00010850694444444444,0.010416666666666666,0.012264675904377523,0.012264675904377523,0.4827380083901361,0.013303007022227488,0.45739479235334246,0.469159547646193,0.4962231463798253,0.5087150592681582,3166931931,2807047589
ema_q,marginal_sfh_dlog_sfr_10,1,sfh_dlog_sfr_10,512,128,100,0.5410025044567977,0.6666666666666666,-0.12566416220986898,0.00010850694444444444,0.010416666666666666,0.012480540264802982,0.012480540264802982,0.5411156331193284,0.012810844248755181,0.5164623279737768,0.5284051533356501,0.5536370870233963,0.5675968191310645,3166931931,2807047589
ema_iw,marginal_sfh_dlog_sfr_10,1,sfh_dlog_sfr_10,512,128,100,0.482294465908015,0.6666666666666666,-0.18437220075865163,0.00010850694444444444,0.010416666666666666,0.01256037753334095,0.01256037753334095,0.48232902706537034,0.013473073535171328,0.45581741502813033,0.46872253592581503,0.4960504168869943,0.5075119037460979,3166931931,2807047589
